timestamp,car,speed_kmh,rpm,gear,throttle,brake,accel_ms2,jerk,label
1778050949.6381018,beam,95.17,2967,3,78.12,0.0,0.657,-0.299,racing
1778050284.210673,beam,55.54,1704,3,17.06,0.0,0.108,0.724,normal
1778050600.6560924,beam,78.43,2546,3,46.03,0.0,0.508,-0.867,racing
1778050709.7985747,beam,99.1,4364,2,100.0,4.76,0.749,0.798,racing
1778050597.9540143,beam,81.46,3427,2,0.0,51.17,-5.434,3.099,racing
1778049851.216304,beam,84.61,2487,3,31.35,0.0,0.2,-0.591,normal
1778050636.3056726,beam,94.49,2874,3,55.08,0.0,0.506,0.25,racing
1778050014.0231247,beam,87.61,2516,3,26.98,0.0,-0.029,-0.405,normal
1778050076.6781306,beam,79.72,2336,3,26.59,0.0,-0.121,-0.13,normal
1778050997.0422733,beam,63.06,1429,3,0.0,0.0,-0.684,0.512,racing
1778050917.3278947,beam,129.61,5585,2,100.0,0.0,0.608,-0.246,racing
1778049937.2654824,beam,77.8,2274,3,25.0,0.0,0.037,-0.291,normal
1778051017.2006545,beam,122.21,3245,3,0.0,50.0,-3.513,30.085,racing
1778050295.0394788,beam,59.08,1864,3,21.43,0.0,0.241,1.658,normal
1778050260.3196335,beam,51.93,1570,3,14.29,0.0,0.406,-0.112,normal
1778050772.849612,beam,92.83,2767,3,42.86,0.0,0.091,-1.289,racing
1778050114.0651495,beam,89.89,2583,3,28.57,0.0,0.054,0.09,normal
1778050006.928234,beam,86.48,2530,3,31.35,0.0,0.028,1.276,normal
1778050113.616885,beam,89.81,2582,3,28.57,0.0,0.078,0.075,normal
1778049907.0961115,beam,66.5,2080,3,26.59,0.0,0.31,0.371,normal
1778050105.8011909,beam,87.7,2538,3,29.36,0.0,0.149,0.373,normal
1778049992.2959733,beam,61.64,2094,3,32.14,0.0,0.812,-0.699,normal
1778050234.957287,beam,68.15,1914,3,13.49,0.0,-0.083,0.385,normal
1778050514.7996097,beam,121.12,5243,2,100.0,0.0,0.775,0.923,racing
1778050114.5368395,beam,89.99,2588,3,28.97,0.0,0.046,-0.189,normal
1778050157.472314,beam,56.51,772,3,0.0,0.0,-0.571,-2.728,normal
1778050516.0495772,beam,124.31,5371,2,100.0,0.0,0.743,0.631,racing
1778050626.739346,beam,56.45,2511,2,100.0,0.0,0.395,0.49,racing
1778050578.783675,beam,115.2,3394,3,79.3,0.0,0.576,0.572,racing
1778050142.976406,beam,75.2,1905,3,0.0,5.95,-1.096,-1.359,normal
1778050075.297522,beam,79.4,2327,3,26.98,0.0,0.209,1.104,normal
1778049889.2954645,beam,86.85,2255,3,0.0,0.0,-0.854,-0.128,normal
1778050631.8531885,beam,82.9,3751,2,100.0,0.0,1.381,0.086,racing
1778049924.579006,beam,77.05,2281,3,26.98,0.0,0.063,-0.626,normal
1778049941.6639204,beam,79.08,2304,3,25.0,0.0,0.307,3.365,normal
1778050874.2579052,beam,109.26,4767,2,100.0,0.0,0.374,-8.799,racing
1778050820.339996,beam,66.89,1671,3,0.0,26.59,-3.713,5.524,racing
1778050143.622539,beam,73.04,1832,3,0.0,0.0,-0.97,-1.757,normal
1778050675.3767447,beam,103.92,3070,3,55.08,0.0,0.49,1.914,racing
1778050852.9785666,beam,130.77,3774,3,100.0,0.0,0.256,0.508,racing
1778050693.4638631,beam,29.68,2757,1,100.0,11.51,1.076,12.01,racing
1778049830.4501474,beam,65.06,2176,3,34.13,0.0,0.437,0.231,normal
1778050047.7687736,beam,42.94,1685,3,21.43,0.0,-0.308,-0.679,normal
1778049849.7428472,beam,83.7,2468,3,31.35,0.0,0.19,-0.756,normal
1778050865.427379,beam,71.5,3337,2,100.0,0.0,1.278,-2.197,racing
1778050855.6719575,beam,107.9,2830,3,0.0,100.0,-16.192,-13.6,racing
1778050563.28774,beam,80.48,3649,2,82.03,0.0,1.35,-0.582,racing
1778050609.6783435,beam,76.64,3337,2,0.0,100.0,-35.855,-135.858,racing
1778050508.347396,beam,100.56,4424,2,100.0,0.0,0.971,-1.713,racing
1778050849.3958488,beam,126.34,3670,3,100.0,0.0,0.429,1.092,racing
1778050008.5158098,beam,86.6,2532,3,31.35,0.0,0.123,0.739,normal
1778049817.4016533,beam,33.43,2092,2,37.3,0.0,1.343,0.255,normal
1778050016.6605074,beam,87.45,2512,3,26.98,0.0,0.011,0.272,normal
1778050003.0249944,beam,87.31,2552,3,31.74,0.0,0.052,0.1,normal
1778050882.515315,beam,87.72,2782,3,64.45,0.0,-0.231,-0.807,racing
1778050835.114902,beam,100.67,3084,3,81.25,0.0,0.473,-2.168,racing
1778050102.3164828,beam,86.47,2507,3,28.97,0.0,0.151,0.496,normal
1778050059.1652548,beam,51.81,2062,3,42.86,0.0,0.643,0.506,normal
1778049875.9839518,beam,93.2,2672,3,30.16,0.0,0.042,-0.016,normal
1778049913.829571,beam,71.7,2174,3,26.98,0.0,0.093,0.151,normal
1778049933.0350428,beam,77.14,2207,3,20.63,0.0,-0.082,0.724,normal
1778050266.7166111,beam,63.3,1804,3,14.29,0.0,0.443,-0.496,normal
1778050910.225778,beam,110.99,4837,2,100.0,0.0,0.93,0.531,racing
1778050812.225087,beam,132.07,4746,3,4.37,0.0,0.435,-4.674,racing
1778049893.531361,beam,60.53,1231,3,0.0,0.0,-0.611,-0.244,normal
1778049838.827145,beam,75.9,2318,3,32.54,0.0,0.265,0.407,normal
1778050069.3121526,beam,76.16,2460,3,44.05,0.0,0.564,1.924,normal
1778049972.7228734,beam,72.2,1803,3,0.0,0.0,-0.736,-0.115,normal
1778050220.7778618,beam,77.89,2253,3,23.02,0.0,0.358,3.707,normal
1778050058.8345964,beam,51.1,1993,3,31.74,0.0,0.629,0.213,normal
1778050566.3329997,beam,93.42,4145,2,81.25,0.0,0.886,-0.974,racing
1778051024.0741062,beam,32.86,777,2,0.0,0.0,0.237,2.334,racing
1778050768.765235,beam,90.06,2608,3,31.35,0.0,0.002,0.163,racing
1778049823.543743,beam,52.1,2046,3,34.13,0.0,0.614,1.212,normal
1778050094.1896124,beam,83.68,2425,3,26.98,0.0,0.064,-0.106,normal
1778050278.989024,beam,56.4,1695,3,15.87,0.0,-0.205,0.7,normal
1778050678.8407462,beam,81.99,2144,3,0.0,50.0,-5.785,6.053,racing
1778050528.8735957,beam,137.49,3929,3,100.0,0.0,0.462,0.281,racing
1778050670.4963174,beam,114.2,3040,3,0.0,0.0,-2.064,-10.198,racing
1778050551.2902122,beam,148.65,4148,3,58.2,0.0,-0.012,0.626,racing
1778051004.7615898,beam,83.39,3769,2,100.0,0.0,1.228,-0.547,racing
1778050984.860315,beam,93.47,2450,3,0.0,0.0,-1.058,-17.659,racing
1778050039.1686234,beam,58.75,1813,3,19.44,0.0,-0.387,-0.037,normal
1778050156.5919292,beam,57.77,772,3,0.0,0.0,-0.718,-5.869,normal
1778050557.332095,beam,68.85,1702,3,0.0,6.75,-1.308,-3.022,racing
1778050765.369112,beam,110.17,2925,3,0.0,36.51,-3.818,5.2,racing
1778050202.7161543,beam,57.0,1856,3,22.62,0.0,-0.81,-10.954,normal
1778049925.012987,beam,77.17,2276,3,26.98,0.0,0.077,0.454,normal
1778050626.8468907,beam,56.63,2576,2,100.0,0.0,0.459,0.601,racing
1778049953.6264396,beam,84.59,2414,3,23.81,0.0,0.484,-0.317,normal
1778051012.0844612,beam,113.09,4919,2,98.83,0.0,1.158,-1.521,racing
1778050098.2525258,beam,85.27,2469,3,28.57,0.0,0.117,0.972,normal
1778050811.685018,beam,130.33,5613,2,100.0,0.0,0.874,-0.576,racing
1778050719.8759997,beam,124.39,4202,3,63.28,0.0,0.111,-1.24,racing
1778049817.0816524,beam,31.89,2062,2,36.11,0.0,1.309,0.686,normal
1778050598.5934196,beam,76.92,3198,2,0.0,0.0,-1.077,0.191,racing
1778049936.6826923,beam,77.64,2270,3,25.0,0.0,0.026,-0.826,normal
1778050173.7202427,beam,86.58,2342,3,8.33,0.0,-0.508,-0.481,normal
1778050208.0640757,beam,60.46,1905,3,22.62,0.0,0.172,-0.141,normal
1778049989.485243,beam,54.77,1939,3,27.78,0.0,0.221,-3.669,normal
1778050295.6867783,beam,59.36,1887,3,21.83,0.0,0.202,-0.317,normal
1778050235.1900258,beam,68.0,1910,3,13.49,0.0,-0.139,0.757,normal
1778050130.4955416,beam,91.93,2633,3,28.97,0.0,0.05,0.051,normal
1778050919.097898,beam,128.62,4329,3,67.19,0.0,0.139,-0.194,racing
1778049996.9322157,beam,76.25,2318,3,31.74,0.0,0.771,0.277,normal
1778050712.8623738,beam,107.91,4712,2,100.0,0.0,0.904,-1.234,racing
1778049929.4480374,beam,77.66,2287,3,26.19,0.0,-0.086,-1.155,normal
1778049846.4506338,beam,81.52,2422,3,31.35,0.0,0.26,0.839,normal
1778050961.9681878,beam,74.69,2563,3,60.55,0.0,0.775,-0.166,racing
1778050571.2280767,beam,98.87,3017,3,67.19,0.0,0.486,-1.582,racing
1778050598.491312,beam,77.32,3214,2,0.0,0.0,-1.096,0.273,racing
1778049930.4010024,beam,77.7,2288,3,26.19,0.0,0.199,3.205,normal
1778050286.207009,beam,55.95,1780,3,19.44,0.0,0.151,0.673,normal
1778050047.4517045,beam,43.24,1693,3,21.43,0.0,-0.307,-0.804,normal
1778049922.878057,beam,76.4,2262,3,26.59,0.0,0.131,-0.187,normal
1778049942.892791,beam,79.81,2316,3,25.0,0.0,1.084,1.665,normal
1778050501.1692438,beam,69.69,3282,2,100.0,0.0,0.857,-2.343,racing
1778050119.1812131,beam,90.28,2585,3,28.17,0.0,0.059,0.737,normal
1778049846.761445,beam,81.7,2426,3,31.35,0.0,0.09,-1.254,normal
1778050971.3335176,beam,77.69,3293,2,100.0,0.0,0.12,-2.071,racing
1778050649.7624493,beam,117.79,3389,3,55.47,0.0,0.815,-1.375,racing
